X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,date_updated,email,dis_status,POINT_X,POINT_Y
-118.140918856923946,34.160250546591591,98933749,LA County Department of Mental Health,7397,Health and Mental Health,Mental Health Counseling,,,Foothill Family Service - Duarte Office,808 N Los Robles,,Pasadena,CA,"Operational Hours: Mon - Fri 9:30 am - 5:00 pm; Walk-In Hours: No Walk-ins",(626) 395-7100,,Outpatient,Child/Youth,324,"Case Management, Mental Health Promotion, Crisis Intervention, Medication Support, Mental Health Services, Psych Testing",91104,http://egis3.lacounty.gov/lms/?p=324,publish,34.16025058,-118.1409188,2010-11-01T19:50:56.000Z,,,6519039.42899205,1880728.48947556
-118.282411455851204,34.063761226460571,98933750,LA County Department of Mental Health,7186,Health and Mental Health,Mental Health Counseling,,,Fuller Psychological And Family Services,"520 S La Fayette Park Place, 3Rd Floor - Suite 300",,Los Angeles,CA,"Operational Hours: Mon 8:30 - 7:00 pm Tues -Fri 8:30 am - 6.00 pm; Walk-In Hours: No Walk-ins",(213) 252-2100,,Outpatient,Child/Youth,434,"Day Treatment, Full Service Partnership, Medication Support, Mental Health Services, Psych Testing, Residential",90057,http://egis3.lacounty.gov/lms/?p=434,publish,34.06376126,-118.2824114,2010-11-01T19:50:56.000Z,,,6476136.37470648,1845704.49981239
-118.209992056054773,34.057783967355896,98933756,211,,Health and Mental Health,Mental Health Counseling,,,Los Angeles County Department Of Health Services - Los Angeles County And Usc Healthcare Network - Psychiatric Emergency Unit - Access Line,1100 N. State St.,,Los Angeles,CA,"Monday through Sunday, 24 hours per day. ","Access Line and PMRT After Hours/Weekends Service/Intake and Hotline (800) 854-7771, for Warm Transfer only. Administrative (562) 651-3900",,,,580,The unit provides mental health services for people of all ages in the Central Health Region.,90033,http://egis3.lacounty.gov/lms/?p=580,publish,34.057784,-118.209992,2013-06-01T11:50:56.000Z,,,6498065.4601133,1843475.54232806
-118.183788056115759,33.805453967369203,98933758,211,,Health and Mental Health,Mental Health Counseling,,,College Hospital - Signal Hill,707 Walton St.,,Signal Hill,CA,"Monday through Friday, 10:15am to 2:45pm. ","Service/Intake (562) 290-0456, George Dickson - Partial Hospitalization program Service/Intake (562) 233-2294",www.collegehospitals.com,,,584,The hospital provides inpatient mental health services for people of all ages.,90806,http://egis3.lacounty.gov/lms/?p=584,publish,33.805454,-118.183788,2013-06-01T11:50:56.000Z,,,6505834.53184547,1751631.54721065
-118.138081057034057,34.145999967015193,98933764,211,,Health and Mental Health,Mental Health Counseling,,,Rose City Center,595 E. Colorado Blvd.,,Pasadena,CA,"Monday through Friday, 7:00am to 8:00pm. ",Service/Intake and Administration (626) 793-8609,www.rosecitycenter.com,,,592,The agency provides counseling services for individuals 13 years and older who live in the San Gabriel Valley.,91101,http://egis3.lacounty.gov/lms/?p=592,publish,34.146,-118.138081,2013-06-01T11:50:56.000Z,,,6519890.79868038,1875541.25706789
-118.537467055510291,34.19948996668284,98933771,211,,Health and Mental Health,Mental Health Counseling,,www.tarzanatc.org,Tarzana Treatment Center - Reseda,7101 Baird Ave.,,Reseda,CA,"Monday through Friday, 8:00am to 4:00pm ","All services Service/Intake (818) 342-5897, Transitional Housing AIDS/HIV Application Service/Intake (818) 342-5897 Ext.2121",www.tarzanatc.org,,,598,"The center provides domestic violence services, health services, HIV/AIDS services, mental health services for adults, residential treatment for substance abuse, shelter, substance abuse services, and welfare-to-work support services for people of all ages who live in Los Angeles and Ventura Counties.",91335,http://egis3.lacounty.gov/lms/?p=598,publish,34.19949,-118.537467,2013-06-01T11:50:56.000Z,,,6399152.34330739,1895413.03195681
-118.541090055766688,34.180014966348892,98933793,211,,Health and Mental Health,Mental Health Counseling,,,Tarzana Treatment Center - Youth Services,18700 Oxnard St.,,Tarzana,CA,"Monday through Friday, 8:00am to 7:00pm. ","Youth Services Service/Intake (818) 654-3950, All Services Service/Intake and Administration (818) 996-1051",www.tarzanatc.org,,,613,"The center provides domestic violence services, health services, HIV/AIDS services, mental health services for adults, residential treatment for substance abuse, shelter, substance abuse services, and welfare-to-work support services for people of all ages who live in Los Angeles and Ventura Counties.",91356,http://egis3.lacounty.gov/lms/?p=613,publish,34.180015,-118.54109,2013-06-01T11:50:56.000Z,,,6398018.68875055,1888331.70720872
-118.226657056185786,33.897254967564713,98933797,211,,Health and Mental Health,Mental Health Counseling,,,Shields For Families Inc - Compton Family Preservation Center,215 Acacia Ave.,,Compton,CA,"Monday through Friday, 8:00am to 5:00pm. ",Administrative (310) 605-1777,www.shieldsforfamilies.org,,,621,"The agency provides child abuse services, domestic violence services, family preservation services, mental health services, residential substance abuse treatment, substance abuse services, vocational education services and youth services primarily for families who live in the South Central Los Angeles/Compton area.",90220,http://egis3.lacounty.gov/lms/?p=621,publish,33.897255,-118.226657,2013-06-01T11:50:56.000Z,,,6492886.04658763,1785066.75133748
-118.410792055895286,34.031048967065672,98933803,211,,Health and Mental Health,Mental Health Counseling,,,Vista Del Mar Child And Family Services - Reiss-Davis Child Study Center,3200 Motor Ave.,,Los Angeles,CA,"Monday through Friday, 8:30am to 8:00pm; and Saturday, 8:30am to 2:30pm. ","Service/Intake (310) 204-1666 Ext.356, Intake Service/Intake (310) 204-1666 Ext.407, Service Service/Intake (310) 204-1666 Ext.356",,,,623,"The center provides counseling services for children, adolescents, and young adults age zero to 25 and their families who live primarily, in the West Los Angeles area.",90034,http://egis3.lacounty.gov/lms/?p=623,publish,34.031049,-118.410792,2013-06-01T11:50:56.000Z,,,6437205.26785755,1833934.04172607
-118.198412056527488,33.795662967177876,98933811,211,,Health and Mental Health,Mental Health Counseling,,,Tarzana Treatment Center - Long Beach Residential,2101 Magnolia Ave.,,Long Beach,CA,"Monday through Sunday, 24 hours per day. ",Service/Intake (562) 218-1868,www.tarzanatc.org,,,634,"The center provides domestic violence services, health services, HIV/AIDS services, mental health services for adults, residential treatment for substance abuse, shelter, substance abuse services, and welfare-to-work support services for people of all ages who live in Los Angeles and Ventura Counties.",90806,http://egis3.lacounty.gov/lms/?p=634,publish,33.795663,-118.198412,2013-06-01T11:50:56.000Z,,,6501384.65262188,1748076.78791597
-118.14745905608379,34.018556967341219,98933814,211,,Health and Mental Health,Mental Health Counseling,,,Mela Counseling Services Center,5723 Whittier Blvd.,,Los Angeles,CA,,"Administration (323) 721-6855,  Service/Intake (323) 728-0100",www.melacounseling.org,,,644,The agency provides substance abuse services for people of all ages who live in Los Angeles County.,90022,http://egis3.lacounty.gov/lms/?p=644,publish,34.018557,-118.147459,2013-06-01T11:50:56.000Z,,,6516985.2392028,1829166.40231122
