"","Detailed_Name","Measures","difference","Trend","lon","lat"
"1","Downtown Los Angeles NC","Total_Unsheltered",411,"Rise",168.0309542,-21.4838426
"2","East Hollywood NC","Total_Unsheltered",-194,"Fall",-76.802714,34.735161
"3","East Los Angeles","Total_Unsheltered",220,"Rise",-118.1669736,34.0224417
"4","Empowerment Congress North NC","Total_Unsheltered",176,"Rise",-118.2921733,33.9611712
"5","Empowerment Congress Southeast NC","Total_Unsheltered",119,"Rise",-118.2921733,33.9611712
"6","Hacienda Heights","Total_Unsheltered",-172,"Fall",-117.9686755,33.9930677
"7","Inglewood","Total_Unsheltered",-7,"Fall",-118.3531311,33.9616801
"8","Lancaster","Total_Unsheltered",-151,"Fall",-76.3055144,40.0378755
"9","MacArthur Park NC","Total_Unsheltered",277,"Rise",-78.8389722,35.7745115
"10","Mid-Town North Hollywood NC","Total_Unsheltered",-162,"Fall",-118.3790801,34.1671344
"11","Montebello","Total_Unsheltered",310,"Rise",-118.1137535,34.0165053
"12","Pacoima NC","Total_Unsheltered",8,"Rise",-118.4275785,34.2617689
"13","Skid Row","Total_Unsheltered",161,"Rise",-118.2424291,34.043925
"14","Sun Valley Area NC","Total_Unsheltered",-27,"Fall",-118.3667641,34.2334174
"15","Unincorporated Antelope Valley","Total_Unsheltered",169,"Rise",-118.2522977,34.7513712
"16","Unincorporated Compton","Total_Unsheltered",96,"Rise",-118.2200712,33.8958492
"17","Unincorporated Palmdale","Total_Unsheltered",569,"Rise",-118.1164613,34.5794343
"18","Voices of 90037 NC","Total_Unsheltered",33,"Rise",-78.5597971,35.5257483
"19","Westmont / West Athens","Total_Unsheltered",-193,"Fall",-118.2926918,33.9185796
"20","Zapata-King NC","Total_Unsheltered",-387,"Fall",-118.2743673,34.0017275
